2016/1
2016-01-04 14:35:07
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
일선;영어영문학과;1학년;100.001;001;기초영어;1;월(8-2)/금(2-1);002-101-1/002-106;김이은;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;002;기초영어;1;월(8-2)/금(3-1);002-101/002-106;노동욱;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;003;기초영어;1;화(8-2)/금(4-1);002-101-1/002-101-1;모윤숙;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;004;기초영어;1;화(8-2)/금(5-1);002-101/002-101;백혜정;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;005;기초영어;1;수(8-2)/금(5-1);002-101-1/002-101-1;모윤숙;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;006;기초영어;1;수(8-2)/금(6-1);002-101/002-101;여미영;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;007;기초영어;1;목(8-2)/금(6-1);002-101-1/002-101-1;유이나;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;008;기초영어;1;목(8-2)/금(7-1);002-101/002-101;한미야;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;009;기초영어;1;월(9-1)/금(1-2);002-102/002-102;조정곤;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;010;기초영어;1;월(10-1)/금(3-2);002-102/002-102;조정곤;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;011;기초영어;1;월(10-1)/금(3-2);002-105/002-104;장은영;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;012;기초영어;1;화(9-1)/금(3-2);002-102/002-104-1;유이나;20;0;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
